alcaldia,intensidad,area_m2,perime_m
Tlalpan,Medio,244721.0127,2180.10094
Álvaro Obregón,Muy Bajo,471357.4823,4092.739456
Álvaro Obregón,Bajo,173872.0212,2076.390341
Tlalpan,Muy Bajo,249492.4087,2387.175076
Álvaro Obregón,Muy Bajo,308614.9206,2500.36908
Álvaro Obregón,Muy Bajo,250065.5586,2617.336579
Álvaro Obregón,Muy Bajo,48279.92777,1153.145371
Tláhuac,Alto,460870.1837,2865.797069
Iztapalapa,Muy Alto,273396.4242,2283.137384
Xochimilco,Alto,726107.193,4849.029938
Benito Juárez,Muy Alto,270983.8091,2221.063438
Álvaro Obregón,Muy Bajo,20239.62394,569.9569533
Iztapalapa,Alto,209421.1399,2657.763664
Iztapalapa,Muy Bajo,132224.9275,2533.031254
Iztapalapa,Alto,75528.45654,1331.335227
Milpa Alta,Muy Bajo,1243672.874,6223.298068
Milpa Alta,Muy Bajo,1106092.099,6588.067515
Milpa Alta,Muy Bajo,891265.2192,4531.311938
Coyoacán,Muy Bajo,306276.6548,4529.448952
La Magdalena Contreras,Muy Bajo,483822.1931,3335.350437
Coyoacán,Muy Alto,469859.8639,2821.686858
Iztapalapa,Muy Alto,149620.8553,1693.879696
Coyoacán,Muy Alto,320612.95,3948.15934
Coyoacán,Muy Alto,106609.0708,1303.275027
Iztapalapa,Muy Alto,297359.3136,2318.157189
Azcapotzalco,Muy Alto,215010.5624,2503.795451
Miguel Hidalgo,Muy Bajo,69449.68461,1125.56152
Miguel Hidalgo,Muy Alto,79714.04425,1151.904136
Cuauhtémoc,Muy Alto,267444.742,3209.294188
Miguel Hidalgo,Muy Alto,306140.9973,2553.491679
Cuajimalpa de Morelos,Muy Bajo,794985.0556,4726.619594
Venustiano Carranza,Muy Alto,71681.871,1144.626005
Azcapotzalco,Muy Alto,192071.6559,1763.680282
Venustiano Carranza,Muy Alto,96861.57418,1538.890221
Azcapotzalco,Muy Alto,207715.2332,1902.215239
Coyoacán,Muy Bajo,383070.743,2631.51324
Azcapotzalco,Alto,195310.5211,2292.81535
Azcapotzalco,Muy Alto,174225.549,2053.906035
Miguel Hidalgo,Alto,250960.4877,2378.230652
Azcapotzalco,Muy Alto,220868.9083,1952.360467
Cuauhtémoc,Muy Alto,172318.4068,3553.263553
Miguel Hidalgo,Muy Alto,111560.271,1566.471221
Miguel Hidalgo,Muy Alto,1009183.117,4733.725698
Cuauhtémoc,Muy Alto,42335.33068,1079.425982
Cuauhtémoc,Muy Alto,439576.3295,2780.883012
Benito Juárez,Muy Alto,282463.7119,2345.910617
Venustiano Carranza,Muy Alto,46924.27415,927.735727
Cuauhtémoc,Muy Alto,27873.80098,739.8595443
Iztapalapa,Muy Alto,80754.86387,1465.055169
Iztapalapa,Muy Alto,167274.2815,1761.830811
Xochimilco,Bajo,1844739.147,6270.087508
Tlalpan,Muy Bajo,886963.6554,3861.576852
Tlalpan,Muy Bajo,143124.6985,1703.008412
Iztapalapa,Bajo,69313.45226,1204.324246
Coyoacán,Alto,366385.1374,3844.629502
Coyoacán,Muy Alto,97530.7034,1445.00788
Coyoacán,Muy Alto,171868.9748,1754.822191
Coyoacán,Muy Bajo,536118.4652,3383.03067
Coyoacán,Bajo,214896.822,2029.885203
Coyoacán,Muy Bajo,250477.8042,2555.655433
Coyoacán,Muy Bajo,342930.4311,2852.7588
Gustavo A. Madero,Bajo,150619.3281,1962.775607
Iztapalapa,Muy Alto,561410.3629,3109.242468
Iztacalco,Muy Alto,237563.635,2266.873411
Iztapalapa,Muy Bajo,227932.8964,2284.991027
Coyoacán,Muy Alto,491936.245,2946.881645
Iztacalco,Muy Alto,125140.0602,1691.820764
Gustavo A. Madero,Muy Alto,114493.3114,1625.116349
Gustavo A. Madero,Muy Alto,85928.90614,1204.84538
Gustavo A. Madero,Muy Bajo,202102.865,2026.549212
Gustavo A. Madero,Muy Alto,273235.8475,2276.95174
Coyoacán,Muy Alto,116679.6372,1615.209863
Coyoacán,Muy Alto,174441.7244,1765.760959
Gustavo A. Madero,Muy Alto,86829.11602,1317.604289
Gustavo A. Madero,Muy Alto,267155.099,2335.193651
Coyoacán,Muy Alto,359112.4033,2362.153691
Gustavo A. Madero,Muy Alto,155027.8625,1587.061604
Gustavo A. Madero,Muy Alto,222658.1782,1890.870831
Gustavo A. Madero,Muy Alto,34821.35063,924.9518507
Xochimilco,Muy Bajo,512945.1479,4728.274374
Xochimilco,Muy Bajo,217108.5083,2378.983346
Tlalpan,Muy Bajo,177684.7742,1975.979404
Tlalpan,Muy Bajo,67266.14345,1321.252976
Gustavo A. Madero,Muy Alto,235068.4613,2260.167733
Cuajimalpa de Morelos,Muy Bajo,2533057.091,8923.594002
Coyoacán,Medio,302384.7565,2788.253417
Coyoacán,Muy Alto,307573.392,2803.627395
Coyoacán,Muy Alto,380290.1223,3189.675256
Cuauhtémoc,Muy Alto,268516.4558,3046.751043
Miguel Hidalgo,Muy Bajo,298078.2865,3125.544146
Cuauhtémoc,Muy Alto,307634.1047,2387.450206
Cuauhtémoc,Alto,402276.1764,2758.020036
Miguel Hidalgo,Muy Bajo,691897.7468,3964.008024
Venustiano Carranza,Muy Alto,152108.5456,1736.922666
Venustiano Carranza,Muy Alto,127209.4967,1988.456756
Miguel Hidalgo,Alto,224183.2607,2064.968342
Tláhuac,Muy Bajo,16740810.95,26216.30696
Xochimilco,Muy Bajo,53528.76018,1358.546344
Venustiano Carranza,Muy Alto,78932.46266,1837.861605
Gustavo A. Madero,Bajo,241216.5509,2629.476315
Cuauhtémoc,Muy Alto,320495.789,3027.553439
Cuauhtémoc,Muy Alto,35323.81551,814.3214462
Gustavo A. Madero,Muy Alto,233159.6761,1906.393611
Gustavo A. Madero,Muy Alto,189365.6134,1913.724173
Miguel Hidalgo,Muy Bajo,148826.4846,2469.929273
Miguel Hidalgo,Muy Bajo,165851.1596,1797.372635
Venustiano Carranza,Muy Alto,111436.0129,1706.300132
Xochimilco,Muy Bajo,716465.4401,4642.787357
Benito Juárez,Muy Alto,295157.0162,2408.451374
Benito Juárez,Muy Alto,267398.0626,2276.411287
Xochimilco,Muy Alto,234239.471,2446.026099
Xochimilco,Muy Alto,217797.2549,1904.124864
Tlalpan,Muy Bajo,335403.9983,3028.536048
Tlalpan,Muy Bajo,173903.0985,2154.164903
Tláhuac,Muy Alto,231342.8081,1976.996187
Tlalpan,Muy Bajo,254847.65,2209.693141
Álvaro Obregón,Muy Bajo,506501.8398,4305.600272
Benito Juárez,Muy Alto,161889.0329,1671.435931
Benito Juárez,Muy Bajo,255621.0733,2792.325638
Benito Juárez,Muy Alto,258310.659,2243.891143
Benito Juárez,Muy Alto,251972.246,2014.15274
Xochimilco,Medio,347735.0563,3598.934458
Tláhuac,Alto,556546.5146,3495.009316
Tlalpan,Muy Alto,82380.67455,1548.1207
Tláhuac,Alto,191056.4402,2120.751415
Álvaro Obregón,Muy Bajo,532529.2353,3772.960443
Tlalpan,Medio,297724.879,2853.83308
Iztapalapa,Muy Alto,107904.4312,1325.332357
Coyoacán,Muy Alto,198009.6872,2037.565341
Iztapalapa,Muy Alto,763834.9063,3948.219623
Coyoacán,Muy Alto,171504.8011,2233.630133
Coyoacán,Muy Alto,754057.062,4075.919022
Gustavo A. Madero,Muy Alto,147602.2445,1873.386855
Miguel Hidalgo,Muy Bajo,64304.41431,1514.058609
Cuauhtémoc,Muy Alto,84435.34609,1239.508059
Cuauhtémoc,Muy Alto,25179.32663,733.2765065
Coyoacán,Alto,425144.4353,3912.121288
Coyoacán,Muy Alto,111802.9538,1379.130446
Coyoacán,Muy Alto,331976.6121,2615.654658
Gustavo A. Madero,Muy Alto,136673.0041,1911.590322
Azcapotzalco,Medio,192375.7046,1885.216759
Iztapalapa,Muy Bajo,1341018.989,6185.931856
Iztapalapa,Muy Alto,686986.7286,4837.772932
Iztapalapa,Muy Alto,261727.8392,2413.390133
Álvaro Obregón,Muy Bajo,173375.6504,1773.044581
La Magdalena Contreras,Muy Bajo,193472.7963,2408.662447
Azcapotzalco,Alto,72142.10035,1618.22165
Iztapalapa,Alto,396103.7354,2794.862903
Miguel Hidalgo,Muy Bajo,413056.705,4487.893854
Miguel Hidalgo,Muy Bajo,250826.1955,2871.198405
Miguel Hidalgo,Alto,231387.1309,2927.905713
Cuauhtémoc,Muy Alto,179947.4525,1804.388866
Venustiano Carranza,Muy Alto,89739.27913,1509.410449
Venustiano Carranza,Muy Alto,164622.7039,2258.122196
Cuauhtémoc,Muy Alto,207186.3255,2059.649468
Cuauhtémoc,Muy Alto,278399.6829,2565.093402
Miguel Hidalgo,Muy Bajo,38495.7502,786.0775708
Iztapalapa,Muy Bajo,214828.1473,2438.007756
Gustavo A. Madero,Alto,249848.1403,2388.039925
Miguel Hidalgo,Alto,396052.0924,4246.236183
Miguel Hidalgo,Alto,281704.2468,3242.618006
Venustiano Carranza,Muy Alto,137699.8056,1703.135835
Azcapotzalco,Muy Alto,205556.8624,1960.620997
Miguel Hidalgo,Muy Alto,268756.5174,2385.66536
La Magdalena Contreras,Muy Bajo,45180839.87,39195.02225
Venustiano Carranza,Muy Alto,329848.7563,2440.186438
Miguel Hidalgo,Muy Bajo,227097.1193,2877.801971
Cuauhtémoc,Muy Alto,332790.4423,2656.155856
Miguel Hidalgo,Muy Bajo,39478.89981,879.9929151
Miguel Hidalgo,Bajo,384222.6944,3404.805201
Miguel Hidalgo,Alto,985229.0514,6660.544865
Venustiano Carranza,Muy Alto,164467.4862,1865.816611
Venustiano Carranza,Muy Alto,399726.5067,3336.514341
Cuauhtémoc,Muy Alto,167040.8247,1672.796071
Venustiano Carranza,Muy Alto,266483.1053,2623.710419
Miguel Hidalgo,Muy Bajo,230667.1638,2024.814389
Xochimilco,Medio,17367027.04,22945.80347
Tláhuac,Alto,2403593.9,9892.097452
Cuauhtémoc,Muy Alto,127032.2447,1439.773468
Benito Juárez,Muy Bajo,247493.5359,2974.912122
Benito Juárez,Muy Bajo,184700.6176,2087.703511
Cuauhtémoc,Muy Alto,220542.2448,1983.101712
Benito Juárez,Muy Alto,329015.4911,2408.253924
Venustiano Carranza,Muy Alto,207197.2495,1899.182894
Cuauhtémoc,Muy Alto,291834.0674,2162.213545
Gustavo A. Madero,Muy Alto,192766.4184,1783.947606
Cuauhtémoc,Muy Alto,146801.2851,1507.579396
Gustavo A. Madero,Muy Bajo,228975.624,2296.498123
Cuauhtémoc,Muy Alto,281436.6742,2391.242932
Iztacalco,Muy Alto,347683.0029,2717.216979
Gustavo A. Madero,Muy Alto,398920.7435,3479.035908
Iztacalco,Muy Alto,62700.93299,1233.339087
Cuauhtémoc,Muy Alto,296987.2392,2533.735744
Gustavo A. Madero,Bajo,113968.1812,1596.07031
Gustavo A. Madero,Muy Alto,175357.6393,2418.574858
Gustavo A. Madero,Muy Alto,169959.0692,1829.963217
Gustavo A. Madero,Muy Alto,228236.376,1986.050253
Gustavo A. Madero,Muy Alto,201986.7307,2026.825406
Gustavo A. Madero,Muy Alto,268213.2123,2071.051735
Cuauhtémoc,Muy Alto,621443.8583,5069.456691
Benito Juárez,Muy Alto,461214.4008,4143.42441
Benito Juárez,Muy Alto,204138.9159,2968.479556
Cuauhtémoc,Muy Alto,417133.2829,2700.281836
Gustavo A. Madero,Muy Alto,194455.0364,1781.964615
