anio,trimestre,mes,no_registro,tipo_deuda,detalle_tipo_deuda,acreedor,concepto,inicio_credito,fin_credito,dias_contrato,dias_restantes_contrato,disposicion_inicial_credito,colocacion_periodo,amortizaciones_periodo,intereses_periodo,pago_servicio_deuda,saldo_periodo,endeudamiento_periodo,tasa,sobretasa,tasa_final
2021,4,Diciembre,P09-1215163,Largo Plazo,Banca Comercial,SANTANDER,"SANTANDER 3,500",30/12/15,26/12/22,2553,360,3500000000,0,700000000,53165255.87,753165255.8,700000000.2,-700000000,TIIE,0.38,TIIE+0.38
2021,4,Diciembre,P09-1221044,Largo Plazo,Banca Comercial,SANTANDER,"SANTANDER 2,000",13/12/21,13/12/36,5479,5461,2000000000,2000000000,0,0,0,2000000000,2000000000,TIIE,0.38,TIIE+0.38
2021,4,Diciembre,P09-1216082,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-15",30/12/16,26/12/31,5474,3647,3000000000,0,214285714.3,187641071.4,401926785.8,2142857143,-214285714.3,8.22,n/a,8.22
2021,4,Diciembre,P09-1216083,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-7",30/12/16,26/12/23,2552,725,3000000000,0,500000000,97812361.09,597812361.1,999999999.8,-500000000,7.63,n/a,7.63
2021,4,Diciembre,P09-1217133,Largo Plazo,Banca Comercial,HSBC,"HSBC 2,500",29/12/17,26/12/24,2554,1091,2500000000,0,357142857.1,95248214.29,452391071.4,1071428572,-357142857.1,7.46,n/a,7.46
2021,4,Diciembre,P09-1218140,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-18",31/12/18,26/12/28,3648,2552,3000000000,0,333333333.4,231631111.1,564964444.5,2333333333,-333333333.4,9.12,n/a,9.12
2021,4,Diciembre,P09-1218139,Largo Plazo,Banca Comercial,HSBC,"HSBC 1,170",31/12/18,26/12/28,3648,2552,1170915400,0,130101711.1,95858976.86,225960688,910711977.7,-130101711.1,9.67,n/a,9.67
2021,4,Diciembre,P09-1218138,Largo Plazo,Banca Comercial,SANTANDER,"SANTANDER 2,400",31/12/18,26/12/28,3648,2552,2400000000,0,266666666.6,194041851.9,460708518.5,1866666667,-266666666.6,9.55,n/a,9.55
2021,4,Diciembre,P09-1219070,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 2,000",30/12/19,28/12/26,2555,1823,2000000000,0,242240690.4,91091617.3,333332307.7,1757759310,-242240690.4,TIIE,0.22,TIIE+0.22
2021,4,Diciembre,P09-1219071,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,421",30/12/19,26/12/29,3649,2917,3421287307,0,224946375.6,226191872.3,451138247.8,3196340932,-224946375.6,6.74,n/a,6.74
2021,4,Diciembre,P09-1219072,Largo Plazo,Banca Comercial,BANCOMER,BANCOMER 500-19,30/12/19,26/12/29,3649,2917,500000000,0,32874522.85,34773130.64,67647653.49,467125477.2,-32874522.85,7.09,n/a,7.09
2021,4,Diciembre,P09-0721037,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 2,296",13/07/21,11/07/31,3650,3479,2296288493,2296288493,0,56962032.16,56962032.16,2296288493,2296288493,TIIE,0.49,TIIE+0.49
2021,4,Diciembre,262/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 4,000",17/10/07,25/10/47,14618,9429,4000000000,0,0,151925244.6,151925244.6,2954496892,0,TIIE,0.53,TIIE+0.53
2021,4,Diciembre,260/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 4,806",17/10/07,26/10/37,10967,5778,4806995489,0,35814266.87,229902771.1,265717038,4615692706,-35814266.87,TIIE,0.35,TIIE+0.35
2021,4,Diciembre,261/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 4,459",17/10/07,25/10/40,12062,6873,4459000000,0,46032053.4,206572252.1,252604305.5,4144032070,-46032053.4,TIIE,0.35,TIIE+0.35
2021,4,Diciembre,514/2008,Largo Plazo,Banca de Desarrollo,BANOBRAS,BANOBRAS 175,24/12/09,27/11/28,6913,2523,174978799.6,0,9687716.64,3574391.51,13262108.15,67006706.45,-9687716.64,TIIE,0.35,TIIE+0.35
2021,4,Diciembre,562/2010,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,499",28/12/10,25/10/40,10894,6873,1499069398,0,95833333.29,99916827.54,195750160.8,1031013841,-95833333.29,9.13,n/a,9.13
2021,4,Diciembre,P09-1212219,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,954",28/12/12,25/11/27,5445,2155,1954226708,0,140423476.1,63029961.36,203453437.4,830838899.6,-140423476.1,5.97,0.91,6.88
2021,4,Diciembre,P09-1212219,Largo Plazo,Banca de Desarrollo,BANOBRAS,BANOBRAS 145,31/12/12,25/11/27,5442,2155,145773291.7,0,10474727.52,4694813.63,15169541.15,61975471.58,-10474727.52,5.96,0.91,6.87
2021,4,Diciembre,P09-1213189,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,024",31/12/13,25/10/23,3585,663,1024317877,0,196546114.2,21327806.67,217873920.9,330836236.7,-196546114.2,TIIE,0.32,TIIE+0.32
2021,4,Diciembre,P09-1214244,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,949",31/12/14,26/11/29,5444,2887,1949386371,0,150920235.2,63298591.69,214218826.9,1194785195,-150920235.2,TIIE,0.36,TIIE+0.36
2021,4,Diciembre,P09-1215162,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,000",29/12/15,26/12/25,3650,1456,1000000000,0,290904162.8,29174567.06,320078729.8,429409333.4,-290904162.8,TIIE,0.41,TIIE+0.41
2021,4,Diciembre,P09-1217134,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,378",29/12/17,27/12/32,5477,4014,1378859929,0,91923995.28,52427478.64,144351473.9,1011163948,-91923995.28,TIIE,0.34,TIIE+0.34
2021,4,Diciembre,P09-1219069,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,000",30/12/19,28/12/26,2555,1823,2000000000,0,242240690.4,91083935.01,333324625.4,1757759310,-242240690.4,TIIE,0.2,TIIE+0.20
2021,4,Diciembre,P09-0720076,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,000-20",31/07/20,31/07/30,3652,3134,2000000000,0,200000000,92716001.54,292716001.6,1716666667,-200000000,TIIE,0.46,TIIE+0.46
2021,4,Diciembre,P09-0720077,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,300",31/07/20,31/07/30,3652,3134,2300000000,0,230000000,108956155.5,338956155.5,1974166667,-230000000,TIIE,0.57,TIIE+0.57
2021,4,Diciembre,P09-1220098,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,500",11/12/20,25/11/30,3636,3251,2500000000,0,252100840.3,128728294.3,380829134.6,2247899160,-252100840.3,TIIE,0.53,TIIE+0.53
2021,4,Diciembre,P09-1220099,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,683",11/12/20,25/11/30,3636,3251,2683529136,0,270607980.1,141162787.5,411770767.7,2412921156,-270607980.1,TIIE,0.64,TIIE+0.64
2021,4,Diciembre,P09-0721036,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 2,200",13/07/21,11/07/31,3650,3479,2200000000,2200000000,0,54198558.33,54198558.33,2200000000,2200000000,TIIE,0.48,TIIE+0.48
2021,4,Diciembre,P09-1221045,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 3,000",13/12/21,13/12/36,5479,5461,3000000000,3000000000,0,0,0,3000000000,3000000000,TIIE,0.34,TIIE+0.34
2021,4,Diciembre,P09-1221046,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,908",13/12/21,13/12/36,5479,5461,1908190692,1908190692,0,0,0,1908190692,1908190692,TIIE,0.39,TIIE+0.39
2021,4,Diciembre,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,"BANOBRAS 2,138",12/11/12,25/11/32,7318,3982,2138648319,0,0,172344163,172344163,2138648319,0,7.09,0.88,7.97
2021,4,Diciembre,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,BANOBRAS 294,30/11/12,25/11/32,7300,3982,294874160,0,0,23553892.67,23553892.67,294874160,0,7.02,0.88,7.9
2021,4,Diciembre,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,BANOBRAS 196,07/11/13,25/11/32,6958,3982,196783977,0,0,17071665.96,17071665.96,196783977,0,7.7,0.88,8.58
2021,4,Diciembre,329/2007,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB 07,17/12/07,22/11/27,7280,2152,575000000,0,0,50290138.88,50290138.88,575000000,0,8.65,n/a,8.65
2021,4,Diciembre,145/2010,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB10-2,25/06/10,12/06/20,3640,0,2520951200,0,0,0,0,0,0,7.09,n/a,7.09
2021,4,Diciembre,P09-1112186,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 12,30/11/12,12/11/27,5460,2142,2500000000,0,0,173152777.8,173152777.8,2500000000,0,6.85,n/a,6.85
2021,4,Diciembre,P09-1113146,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 13,28/11/13,16/11/23,3640,685,2126874900,0,0,151610732.5,151610732.5,2126874900,0,7.05,n/a,7.05
2021,4,Diciembre,P09-1014157,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 14,03/11/14,21/10/24,3640,1025,2500000000,0,0,162283333.3,162283333.3,2500000000,0,6.42,n/a,6.42
2021,4,Diciembre,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15-2,25/09/15,12/09/25,3640,1351,2500000000,0,0,169361111.1,169361111.1,2500000000,0,6.7,n/a,6.7
